venue_name,address,city_name,country_name,longitude,latitude,postcode,capacity,venue_size,venue_type_new,venue_status
Camberley Theatre,Knoll Road,Camberley,GB,-0.7434430000000001,51.338473,GU15 3SY,,,2_indoor,perminant
The Leadmill,6 Leadmill Road,Sheffield,GB,-1.46504,53.376191000000006,S1 4SE,,,3_indoor_outdoor,perminant
Bierkeller Manchester,"Unit 12, The Printworks, 27 Withy Grove",Manchester,GB,-2.240614,53.485156,M4 2BS,,,2_indoor,perminant
St Marks Church St Marks Road Leeds LS2 9AF,St Marks Road,Leeds,GB,-1.5527030000000002,53.811566000000006,LS2 9AF,,,2_indoor,perminant
Lincoln Drill Hall,Freeschool Lane,Lincoln,GB,-0.53733,53.229870999999996,LN2 1EY,,,2_indoor,perminant
Poole Lighthouse,15 Kingland Road ,Poole,GB,-1.977106,50.718388,BH15 1UG,,,2_indoor,perminant
Camp And Furnace,67 Greenland Street ,Liverpool ,GB,-2.980164,53.39450600000001,L1 0BY,,,2_indoor,perminant
Hideaway Jazz Club,2 Empire Mews Stanthorpe Road,London,GB,-0.1304484,51.426724,SW16 2BF,,,2_indoor,perminant
The Studio,"Unit 2A, 11-15 Francis Avenue",Bournemouth,GB,-1.9189109,50.7544973,BH11 8NX,,,2_indoor,perminant
The Old Courts,"The Old Courts, Crawford Street, Wigan, WN1 1NA",Wigan,GB,-2.634388,53.545671,WN1 1NA,,,2_indoor,perminant
Emporium,28-31 St. Ebbes Street,Oxford,GB,-1.2597931,51.7509659,OX1 1PU,,,2_indoor,perminant
Sneaky Petes,73 Cowgate,Edinburgh,GB,-3.191513,55.948228,EH1 1JW,,,2_indoor,perminant
Towcester Racecourse,London Road,Towcester,GB,-0.9700219999999999,52.123731,NN12 6LB,,,1_outdoor,temporary
Stourbridge Town Hall,"Crown Centre,",Stourbridge,GB,-2.147695,52.457221999999994,DY8 1YE,,,2_indoor,temporary
Gullivers,109 Oldham Street,Manchester,GB,-2.23457,53.483582,M4 1LW,,,2_indoor,perminant
Brockholes Nature Reserve,"Preston New Road, Samlesbury",Preston,GB,-2.627252,53.771176000000004,PR5 0AG,,,1_outdoor,temporary
Century Theatre,"Snibston Discovery Park,  Ashby Road",Coalville,GB,-1.383246,52.725926,LE67 3LN,,,2_indoor,perminant
O2 Victoria Warehouse, Trafford Wharf Road,Manchester,GB,-2.284971,53.464265000000005,M17 1AB,,,2_indoor,perminant
Bamber Bridge Football Club,"Brownedge Road, Bamber Bridge",Preston,GB,-2.67326,53.728017,PR5 6UX,,,1_outdoor,temporary
Club Zero AKA The Factory,24 Lockyer Street,Plymouth,GB,-4.143682,50.368689700000004,PL1 2QW,,,2_indoor,perminant
The Warehouse Penrith,43 Burrowgate ,Penrith,GB,-2.7519005,54.664947700000006,CA11 7TA,,,2_indoor,perminant
Cast,Waterdale,Doncaster,GB,-1.131768,53.519856999999995,DN1 3BU,,,2_indoor,perminant
Old Fire Station,Warwick St,Carlisle,GB,-2.9365,54.897063,CA3 8QP,,,2_indoor,perminant
100 Wardour St,100 Wardour Street,London,GB,-0.133952,51.513647999999996,W1F 0TN,,,2_indoor,perminant
The Warehouse Project,"Store Street Car Park, Store Street,",Manchester,GB,-2.231424,53.47798100000001,M1 2WA,,,2_indoor,perminant
Theatre Royal Dumfries,Shakespeare Street,Dumfries,GB,-3.6076639999999998,55.068169999999995,DG1 2JH,,,2_indoor,perminant
The Fitzgerald Heaton Moor,110 Heaton Moor Road,Stockport,GB,-2.1833367000000004,53.4235294,SK4 4NZ,,,2_indoor,perminant
Proud Camden,"Stables Market, Chalk Farm Road, Camden Town",London,GB,-0.147873,51.542503,NW1 8AH,,,2_indoor,perminant
The Banshee Labyrinth,29-35 Niddry Street,Edinburgh,GB,-3.1867810000000003,55.9490812,EH1 1LG,,,2_indoor,perminant
Junction,Clifton Way,Cambridge,GB,0.135926,52.190682,CB1 7GX,,,2_indoor,perminant
Widcombe Social Club,Widcombe Hill,Bath ,GB,-2.352448,51.376427,BA2 6AA,,,2_indoor,perminant
Contact Theatre,Oxford Road,Manchester,GB,-2.2622352,53.4705365,M15 6JA,,,2_indoor,perminant
